time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-31T06:37:59.644Z,47.6562,146.7585,404.29,4.2,mb,105,103,2.808,0.65,us,us7000hdqn,2022-08-06T22:13:09.040Z,"283 km NNW of Kuril’sk, Russia",earthquake,9.8,6.1,0.031,285,reviewed,us,us
2022-05-31T05:42:45.957Z,36.1552,140.2673,77.58,4.2,mb,70,109,1.705,0.54,us,us7000henc,2022-08-06T22:13:24.040Z,"3 km S of Ishioka, Japan",earthquake,6,5.7,0.075,50,reviewed,us,us
2022-05-31T05:24:03.630Z,32.394,-115.2476667,6.94,2.76,ml,26,72,0.05476,0.25,ci,ci40030751,2022-08-06T22:13:09.040Z,"7km NW of Delta, B.C., MX",earthquake,0.38,0.78,0.209,15,reviewed,ci,ci
2022-05-31T05:07:48.661Z,-19.006,-67.0347,245.07,4.3,mb,42,47,2.143,0.56,us,us7000hdqg,2022-08-06T22:13:09.040Z,"30 km WSW of Challapata, Bolivia",earthquake,7.4,7.4,0.133,16,reviewed,us,us
2022-05-31T04:40:26.266Z,37.0407,71.9542,154.11,4.6,mb,22,77,1.105,0.82,us,us7000hdqa,2022-08-06T22:13:08.040Z,"33 km WNW of Khand?d, Afghanistan",earthquake,7.6,8.7,0.222,6,reviewed,us,us
2022-05-31T04:39:39.616Z,26.3635,95.6051,95.69,4.3,mb,23,90,4.13,0.95,us,us7000hdq8,2022-08-06T22:13:08.040Z,"68 km SE of Mon, India",earthquake,9.7,7.2,0.169,10,reviewed,us,us
2022-05-31T04:34:40.802Z,-25.3132,-175.0495,10,4.4,mb,19,65,4.689,0.58,us,us7000hena,2022-08-06T22:13:24.040Z,"south of Tonga",earthquake,11,1.4,0.17,10,reviewed,us,us
2022-05-31T04:34:21.422Z,60.3761,-143.1747,6.2,2.8,ml,,,,0.66,ak,ak0226xsqgz9,2022-08-06T22:13:08.040Z,"118 km S of McCarthy, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2022-05-31T04:15:12.926Z,32.3573,91.863,10,4,mb,46,53,6.191,0.77,us,us7000hdq4,2022-08-06T22:13:08.040Z,"99 km N of Nagqu, China",earthquake,9.1,1.9,0.106,24,reviewed,us,us
2022-05-31T03:39:03.344Z,-57.9691,-25.4604,35,4.7,mb,22,77,16.599,0.94,us,us7000henw,2022-08-06T22:13:25.040Z,"South Sandwich Islands region",earthquake,7.5,1.9,0.126,19,reviewed,us,us
