latitude,longitude,depth,magnitude,distance,gravity,force,year,month,day,hour,minutes,mb,mwb,mwc,mwr,mww,rare_mt
22.935,94.299,4.321480134805848,5.7,12.814054017717812,2.2806849765045722,46.82581715601661,2012,7,29,2,21,0,1,0,0,0,0
14.75,-90.938,5.309257306586371,5.2,12.907168154272615,2.2809212054070884,46.63958888290701,2012,7,12,1,43,0,1,0,0,0,0
-62.3661,166.5804,2.302585092994046,5.7,12.911639876949826,2.2808603759663333,46.63064543755259,2016,6,15,6,58,0,0,0,0,1,0
43.433,84.7,2.8903717578961645,6.3,12.80698117431027,2.2811755516227206,46.839962842831696,2012,6,29,21,7,0,0,0,0,1,0
-61.7941,-58.0488,3.8918202981106265,5.6,12.89739816787785,2.2841661163316775,46.65912885569654,2018,8,27,20,9,0,0,0,0,1,0
-10.752,164.947,3.190476350346503,5.1,12.812790098091732,2.2830279874349375,46.82834499526877,2013,2,5,19,39,1,0,0,0,0,0
-38.5547,78.1488,2.302585092994046,5.7,12.850662259867686,2.2802003117860288,46.75260067171686,2023,4,21,9,6,0,0,0,0,1,0
-53.2602,159.7523,2.302585092994046,5.5,12.820520174446264,2.2805505435716884,46.81288484255971,2016,1,14,12,15,0,0,0,0,1,0
27.4047,55.3537,2.302585092994046,5.4,12.847700190299811,2.280649615909968,46.75852481085261,2020,3,15,22,4,0,0,0,0,1,0
-20.896,-174.194,2.3978952727983707,5.5,12.822344181307619,2.280587099604232,46.809236828837,2012,9,22,6,58,0,0,0,0,1,0
0.619,92.496,2.2082744135228043,5.1,12.82611135426948,2.2809429798206233,46.80170248291328,2012,4,11,22,15,1,0,0,0,0,0
-6.609,-75.551,2.509599262378372,5.1,12.914105975526649,2.282828713608415,46.62571324039894,2011,10,13,15,6,0,0,1,0,0,0
23.9912,122.6791,3.4339872044851463,5.7,12.8686678307956,2.280492348640457,46.71658952986104,2018,10,23,16,4,0,0,0,0,1,0
45.6575,26.3972,5.017279836814924,5.5,12.831567127598603,2.2803942156777572,46.79079093625503,2018,10,28,0,38,0,0,0,0,1,0
-6.0699,142.7536,3.2272407411998283,7.5,12.810582582641095,2.2824268887678816,46.83276002617005,2018,2,25,17,44,0,0,0,0,1,0
0.0777,96.5636,2.302585092994046,5.1,12.835552924981421,2.281170219667415,46.78281934148939,2024,1,9,4,45,1,0,0,0,0,0
-42.2963,-75.3571,2.302585092994046,5.5,12.864322951658835,2.2803649663396364,46.725279288134566,2022,7,6,15,12,0,0,0,0,1,0
-59.016,-16.612,2.4849066497880004,6.2,12.896859542811749,2.281940954586688,46.66020610582874,2012,4,17,19,3,0,0,0,0,1,0
38.9152,70.5612,2.463853240590168,5.7,12.892698609099854,2.280475470710141,46.66852797325253,2021,7,10,2,14,0,0,0,0,1,0
45.999,149.46,5.045358730154642,5.1,12.832796863841518,2.280339653780863,46.788331463769204,2011,7,3,16,5,0,0,1,0,0,0
10.5368,93.5418,4.487410900049682,5.9,12.830986487513576,2.2804532475140675,46.79195221642509,2023,7,28,19,23,0,0,0,0,1,0
-6.6005,155.0696,3.5553480614894135,5.1,12.8285800635079,2.28449092135603,46.79676506443644,2014,4,19,13,53,1,0,0,0,0,0
-26.6119,67.7252,2.302585092994046,5.1,12.85671673181316,2.280393895654322,46.74049172782592,2018,9,28,11,1,1,0,0,0,0,0
32.1131,138.1614,5.816456183608252,5.5,12.902384812233276,2.2819121149124806,46.649155566985684,2021,10,21,8,36,0,0,0,0,1,0
-27.8958,-176.3468,2.302585092994046,5.1,12.908665078917803,2.2844981540225784,46.63659503361663,2016,7,14,2,24,1,0,0,0,0,0
-63.378,-62.543,2.174751721484161,5.7,12.837551847666429,2.2805012000088496,46.778821496119384,2013,7,16,19,41,0,1,0,0,0,0
8.259,126.7494,4.1533207673223975,5.4,12.90421234271316,2.280406449084681,46.64550050602592,2023,12,2,20,39,1,0,0,0,0,0
6.6594,125.67,5.224401683597868,5.3,12.878325553165608,2.2809944351635827,46.69727408512102,2018,12,6,14,13,0,0,0,0,1,0
8.415,-103.158,2.302585092994046,5.6,12.858699869285214,2.2817500919434175,46.73652545288181,2011,11,17,6,52,0,0,1,0,0,0
54.602,-159.6258,3.34533224882076,7.6,12.806364131570767,2.2839303787535004,46.8411969283107,2020,10,19,20,54,0,0,0,0,1,0
-2.4959,140.7411,2.9838115026582974,5.1,12.903595239990766,2.2820286496499267,46.64673471147071,2023,1,4,12,16,0,0,0,0,1,0
-14.6127,166.9133,2.88703285663065,5.1,12.897808831104722,2.2844350560778537,46.65830752924279,2021,1,24,9,29,1,0,0,0,0,0
-29.1061,-178.3223,5.392445029272735,5.2,12.880169515732572,2.280831073830613,46.69358615998709,2019,8,23,0,4,1,0,0,0,0,0
18.692,-101.319,4.404277243608702,5.3,12.87296054942221,2.282479797258395,46.708004092607815,2011,6,2,16,29,0,0,0,1,0,0
54.3029,169.3011,2.302585092994046,5.5,12.866466752591863,2.2802781815542694,46.72099168626851,2017,7,28,2,39,0,0,0,0,1,0
-14.4761,167.4345,5.278267708742333,5.1,12.910266090841755,2.2825335813887357,46.633393009768724,2014,3,10,13,28,1,0,0,0,0,0
56.6021,-34.4838,2.302585092994046,5.1,12.869520638995082,2.284064544543439,46.714883913462074,2023,12,10,2,46,0,0,0,0,1,0
1.7827,127.1887,4.624972813284271,6.0,12.82080953529884,2.281267605356103,46.81230612085456,2023,11,22,2,48,0,0,0,0,1,0
-20.548,174.687,3.8522730010223722,5.2,12.873419850599706,2.280827792207751,46.70708549025282,2013,7,28,20,16,1,0,0,0,0,0
-15.1113,-173.4927,2.302585092994046,5.1,12.891076761147652,2.2803126278578807,46.67177166915693,2019,2,10,13,27,1,0,0,0,0,0
-40.602,177.0387,2.206074192613202,5.9,12.878583351239676,2.2823620528167536,46.69675848897288,2016,11,22,0,19,0,0,0,0,1,0
5.812,125.748,4.653960350157523,6.1,12.895322240361406,2.28086969213233,46.663280710729424,2013,2,16,4,37,0,0,0,0,1,0
36.3653,143.1197,2.302585092994046,5.4,12.877508328058898,2.2802390168323754,46.69890853533444,2015,3,27,3,4,0,0,0,0,1,0
-24.3311,-111.9198,2.302585092994046,5.5,12.892716223438933,2.281231330609604,46.66849274457437,2018,5,2,6,31,0,1,0,0,0,0
-31.3958,58.1204,2.302585092994046,5.2,12.827245729449926,2.2826892294114987,46.79943373255239,2016,1,12,9,46,1,0,0,0,0,0
-9.353,120.278,4.229749199228304,5.5,12.841296708173818,2.280782547433838,46.7713317751046,2013,3,26,17,23,0,1,0,0,0,0
36.686,141.58,3.5890591188317256,5.1,12.809273236484646,2.28227408593477,46.83537871848294,2011,4,14,6,7,1,0,0,0,0,0
-21.1035,-174.2706,2.262804222982201,5.5,12.820506650863162,2.281454436897855,46.81291188972591,2022,2,2,10,26,0,0,0,0,1,0
49.2311,158.1315,3.5953926110204724,5.1,12.914844620737249,2.2831957609196287,46.62423594997774,2020,3,25,17,21,1,0,0,0,0,0
-55.633,-123.207,2.2925347571405443,5.5,12.845563214952408,2.281464082532576,46.76279876154742,2013,4,6,10,29,0,0,1,0,0,0
-28.765,-177.031,3.6270040503958487,5.1,12.905778272387366,2.283855854689727,46.64236864667751,2011,11,5,16,49,0,0,1,0,0,0
-63.032,170.703,2.302585092994046,5.2,12.9138374659135,2.28242515925152,46.62625025962524,2011,11,7,17,0,0,0,1,0,0,0
-58.815,-24.8274,2.302585092994046,5.3,12.826770093681212,2.2843556782697627,46.80038500408981,2021,8,14,3,4,1,0,0,0,0,0
29.309,141.87,3.0726933146901194,5.2,12.824684839701872,2.2844611073103467,46.804555512048495,2013,2,3,23,4,1,0,0,0,0,0
-23.8042,-175.8024,2.302585092994046,5.2,12.895450230082249,2.2804612281693517,46.66302473128774,2023,6,18,17,16,0,0,0,0,1,0
1.0248,-28.1447,2.302585092994046,5.7,12.900041988022355,2.2821548944962475,46.653841215407525,2016,1,27,15,11,0,0,0,0,1,0
-15.6988,-171.8712,2.302585092994046,5.3,12.797505433019023,2.2826826089723493,46.85891432541419,2019,10,26,8,52,0,0,0,0,1,0
-6.4883,148.7394,3.4011973816621555,6.0,12.82995280988608,2.2818840737846737,46.794019571680074,2019,4,12,14,51,0,0,0,0,1,0
54.7052,164.4229,2.302585092994046,5.1,12.824418151842266,2.2811569984614932,46.80508888776771,2019,6,5,10,57,0,0,0,0,1,0
-1.454,97.0565,3.045474365448805,5.1,12.78961699117416,2.2817775711804535,46.874691209103915,2015,10,26,10,9,1,0,0,0,0,0
-26.4613,-69.8601,4.082946517269732,5.3,12.887544433172604,2.280612468255539,46.67883632510703,2016,4,16,6,5,0,0,0,0,1,0
-43.8739,39.3827,2.302585092994046,5.1,12.88640050862786,2.282569823211055,46.68112417419652,2023,5,21,17,23,1,0,0,0,0,0
-7.0089,156.3207,5.872117789475416,6.2,12.82745794586311,2.280999042563799,46.799009299726016,2019,1,26,3,51,0,0,0,0,1,0
-6.9881,117.5894,6.282266746896006,5.7,12.826864163897978,2.2802783461860248,46.80019686365628,2014,10,30,12,11,0,0,0,0,1,0
-9.9665,161.0827,5.114815113005919,5.4,12.808175783368613,2.2814431202150005,46.83757362471501,2021,12,7,10,27,0,0,0,0,1,0
-38.3685,178.0517,3.544431549748063,5.1,12.850725243232226,2.2808392446261743,46.75247470498778,2014,12,19,12,51,1,0,0,0,0,0
-20.541,-174.924,2.302585092994046,5.1,12.884986511341895,2.284012351458221,46.68395216876845,2011,11,14,19,27,1,0,0,0,0,0
-16.5186,-177.4612,2.302585092994046,6.0,12.80157392060112,2.28039577285103,46.85077735025,2018,2,1,11,5,0,0,0,0,1,0
-33.3533,-70.1484,4.695741884172478,5.7,12.900793587078411,2.2844374032929027,46.65233801729541,2021,1,24,0,7,0,0,0,0,1,0
-0.9389,120.4097,3.30395199722332,5.1,12.910777774923847,2.2838150487204745,46.63236964160454,2016,9,7,14,32,1,0,0,0,0,0
-48.983,124.7513,2.302585092994046,5.2,12.79987451608708,2.2818883116012127,46.854176159278076,2017,11,6,23,39,1,0,0,0,0,0
-18.0441,-174.141,3.3495531485098167,5.7,12.83866535806285,2.2806243698432818,46.77659447532654,2015,8,7,14,22,0,0,1,0,0,0
-7.1347,-12.9698,2.302585092994046,5.5,12.805282703211551,2.2804479198851393,46.843359785029136,2020,8,22,10,21,0,0,0,0,1,0
29.3523,81.1777,2.302585092994046,5.2,12.907512843764113,2.281032542394804,46.63889950392401,2022,11,12,14,27,0,0,0,0,1,0
51.2607,-178.1425,3.5553480614894135,5.1,12.906942429876182,2.2807603923848974,46.64004033169987,2019,1,6,7,25,1,0,0,0,0,0
-35.7328,-103.5458,2.302585092994046,5.7,12.88759248984914,2.284017657074812,46.67874021175396,2022,5,9,16,14,0,0,0,0,1,0
-21.4364,170.133,2.302585092994046,5.1,12.914448282308282,2.2808417249782966,46.62502862683567,2021,12,18,20,14,0,0,0,0,1,0
-14.9768,-176.3811,1.791759469228055,5.5,12.902980246837146,2.2803907731199673,46.647964697777944,2017,2,20,23,55,0,0,0,0,1,0
40.5253,77.7107,1.9746364273137096,5.3,12.909474566051678,2.2804620327745426,46.63497605934888,2023,11,7,18,9,0,0,0,0,1,0
9.2273,125.5742,3.0154858800408273,5.1,12.821487987966304,2.280449214222469,46.810949215519635,2023,4,13,16,4,0,0,0,0,1,0
-59.0922,-25.6077,3.9573787071489432,5.1,12.902384812233276,2.281125857800408,46.649155566985684,2021,9,29,5,36,1,0,0,0,0,0
-22.7706,-175.0236,2.302585092994046,5.1,12.883575590685268,2.280816503179342,46.6867740100817,2019,9,19,16,2,1,0,0,0,0,0
-23.5099,-64.6396,2.448415541205585,5.3,12.910715991228546,2.2818690018767955,46.63249320899515,2015,12,5,2,10,1,0,0,0,0,0
13.849,-92.156,3.5553480614894135,5.7,12.865319136483032,2.2822036074517538,46.723286918486174,2012,11,7,22,42,0,0,1,0,0,0
-7.6028,-79.3678,4.161379963558259,5.1,12.822560139542135,2.283814402707672,46.80880491236797,2014,5,15,22,43,1,0,0,0,0,0
16.6149,-25.6191,2.302585092994046,5.3,12.8276728026753,2.281800286697947,46.79857958610164,2023,1,26,4,16,1,0,0,0,0,0
37.3338,142.5014,2.451005098112319,5.1,12.863185829956251,2.2810512235426046,46.72755353153973,2019,8,24,4,52,0,0,0,0,1,0
-31.6258,58.2574,2.302585092994046,5.4,12.798650591668407,2.2802893958802692,46.856624008115425,2018,7,11,5,0,0,0,0,0,1,0
2.911,128.248,4.726148112540994,6.4,12.808578231463033,2.2807766931603677,46.836768728526174,2020,6,4,8,49,0,0,0,0,1,0
37.9358,36.6013,2.8823955882149876,5.3,12.906297222134137,2.283428663646992,46.641330747183964,2023,2,7,18,9,0,0,0,0,1,0
11.2863,92.9571,3.9776234625120948,5.1,12.838954827101643,2.2809795061827214,46.77601553724895,2019,11,17,23,5,1,0,0,0,0,0
