latitude,longitude,depth,magnitude,distance,gravity,force
-7.154,155.184,415.0,6.4,405548,9.79,1.9881744068742543e-15
-27.618,-69.521,94.9,5.4,404630,9.79,1.9972059393539477e-15
-9.996,113.88,50.3,5.2,404456,9.8,1.9989247348964755e-15
22.744,144.564,22.3,5.1,404447,9.78,1.99901369845798e-15
27.301,143.157,10.0,5.3,404360,9.79,1.9998739858306354e-15
43.541,-127.313,10.0,5.4,403919,9.78,2.0042433068210497e-15
-14.259,166.59,26.2,5.1,403601,9.78,2.007402865184596e-15
24.807,141.096,209.9,5.2,402732,9.78,2.0160752087082417e-15
-16.074,166.988,35.0,5.2,402146,9.79,2.021955067488204e-15
-27.622,-70.321,61.9,5.2,400624,9.78,2.0373473618923558e-15
52.135,91.779,10.0,5.3,400121,9.79,2.042472960709729e-15
37.151,141.279,33.0,5.3,398930,9.81,2.054686715108203e-15
4.195,122.974,523.2,6.5,398660,9.78,2.0574708081987865e-15
4.077,123.039,525.0,6.6,398653,9.8,2.057543063629466e-15
-15.043,-177.696,355.5,5.2,396710,9.78,2.077747224697938e-15
-36.422,-72.96,26.0,6.9,392883,9.8,2.1184222646259744e-15
-36.45,-73.15,38.9,5.3,392841,9.8,2.1188752646507187e-15
-36.657,-73.442,17.7,5.3,392511,9.79,2.122439612006232e-15
-37.196,-73.198,15.0,5.9,392087,9.78,2.1270324752018858e-15
27.302,143.064,10.0,5.1,392012,9.8,2.127846443631875e-15
-37.027,-72.954,16.0,6.1,391717,9.8,2.1310525902386408e-15
0.079,-17.018,10.0,5.7,391350,9.78,2.1350513791362983e-15
-31.241,-177.809,10.0,5.6,391312,9.8,2.135466065584642e-15
-6.581,154.211,54.1,5.1,390076,9.78,2.1490204382358927e-15
1.993,126.833,35.0,5.6,389216,9.79,2.1585277523938836e-15
-20.879,-175.672,85.0,6.1,387736,9.79,2.1750375325330067e-15
-36.565,-73.178,20.7,5.8,383947,9.8,2.218178287069594e-15
-36.649,-73.176,17.0,6.0,383498,9.8,2.2233754202373397e-15
-36.557,-73.275,18.9,5.5,382673,9.8,2.232972449437715e-15
-20.81,-176.786,216.6,5.1,381265,9.8,2.2494955008761756e-15
-4.294,153.01,48.6,5.3,380011,9.79,2.2643662370101817e-15
-35.38,-72.834,21.0,6.7,379002,9.78,2.27643892697406e-15
-35.323,-72.883,34.1,5.2,377239,9.79,2.2977662017824535e-15
-35.623,-72.004,35.0,5.2,376727,9.78,2.3040161161294258e-15
-19.967,-68.834,105.9,5.2,374227,9.78,2.3349026106060574e-15
-16.065,67.564,10.0,5.2,372207,9.8,2.360314823227934e-15
21.101,121.188,25.0,5.4,371867,9.78,2.364632893442021e-15
-13.997,-14.369,10.0,5.1,371361,9.79,2.3710811709716716e-15
-2.497,121.483,16.2,6.1,370342,9.8,2.384147232716925e-15
25.908,128.294,4.3,5.1,370187,9.79,2.3861441704063085e-15
38.321,143.162,26.2,5.5,369058,9.8,2.4007655977348803e-15
38.387,142.796,10.0,5.1,369035,9.78,2.4010648611080493e-15
-0.042,-17.927,10.0,5.4,368378,9.8,2.4096370687013215e-15
-6.122,149.395,48.9,5.4,367425,9.78,2.4221531589117383e-15
25.909,128.281,6.9,5.2,363202,9.8,2.4788060317118294e-15
-14.165,166.471,22.3,5.6,360198,9.8,2.52032421892407e-15
-4.614,153.157,57.7,5.5,359444,9.78,2.5309089976454748e-15
-33.933,-72.108,10.0,5.3,358587,9.78,2.5430208750057905e-15
32.047,-115.0621667,14.929,5.09,358551,9.79,2.5435315602217652e-15
44.817,150.086,40.2,5.1,358448,9.8,2.5449935373632542e-15
1.898,97.886,53.0,5.2,358357,9.78,2.546286236080245e-15
-34.026,-72.234,15.9,5.2,358248,9.78,2.5478359302724035e-15
13.674,51.636,10.0,5.4,359305,9.79,2.5328675810121536e-15
-7.263,155.136,35.0,5.1,359315,9.79,2.5327265998488162e-15
1.36,97.198,40.4,5.3,359780,9.78,2.526183952706832e-15
-7.887,122.844,224.4,5.1,360116,9.78,2.5214721274613075e-15
55.918,162.117,33.0,6.1,360540,9.78,2.515545042858042e-15
-27.149,-64.688,12.7,5.6,361718,9.78,2.499187069077309e-15
-26.142,178.394,558.1,6.5,362289,9.82,2.491315390676137e-15
-25.886,178.339,601.3,5.1,362301,9.78,2.4911503605515197e-15
-10.281,161.415,69.8,5.5,362509,9.79,2.4882924418759767e-15
-62.404,-158.512,10.0,5.2,363742,9.79,2.471451579003682e-15
-43.583,172.68,5.9,6.1,364369,9.8,2.462953233221215e-15
-43.59,172.65,5.9,5.5,364406,9.8,2.4624531062023438e-15
-43.598,172.621,6.6,5.6,364717,9.79,2.458255350675047e-15
14.127,120.648,140.9,5.2,364776,9.8,2.4574602033171193e-15
26.419,128.706,16.1,5.1,365276,9.82,2.450737127387671e-15
38.229,143.166,31.7,5.1,366201,9.79,2.4383719575418604e-15
22.11,143.842,112.8,5.5,367029,9.8,2.4273826644430933e-15
12.388,-87.815,41.0,5.7,369659,9.8,2.3929655051800965e-15
